order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O00002,C0008,P0003,2024-08-24,4,0.1,Card,delivered
O00004,C0007,P0006,2024-04-18,4,0.15,Cash on Delivery,delivered
O00005,C0005,P0004,2024-10-14,3,0.2,Cash on Delivery,cancelled
O00006,C0013,P0006,2024-04-22,2,0.2,Cash on Delivery,delivered
O00007,C0002,P0002,2024-03-19,2,0.15,UPI,delivered
O00008,C0020,P0008,2024-09-27,3,0.2,UPI,delivered
O00009,C0004,P0009,2024-05-16,3,0.0,Net Banking,delivered
O00011,C0010,P0009,2024-11-07,2,0.05,Net Banking,pending
O00012,C0018,P0009,2024-01-01,3,0.15,UPI,delivered
O00013,C0012,P0005,2024-05-02,1,0.05,UPI,delivered
O00014,C0016,P0002,2024-09-29,2,0.05,Cash on Delivery,returned
O00015,C0006,P0005,2024-09-27,4,0.05,Card,delivered
O00016,C0013,P0006,2024-08-12,4,0.0,Card,delivered
O00019,C0008,P0005,2024-12-08,4,0.05,Card,delivered
O00020,C0029,P0008,2024-05-04,4,0.15,Card,delivered
O00021,C0022,P0007,2024-06-30,4,0.15,Cash on Delivery,cancelled
O00022,C0002,P0002,2024-02-01,4,0.1,UPI,delivered
O00023,C0007,P0009,2024-08-17,2,0.15,Card,delivered
O00024,C0008,P0002,2024-08-14,1,0.0,UPI,returned
O00025,C0030,P0004,2024-03-26,4,0.15,Cash on Delivery,delivered
O00027,C0026,P0008,2024-05-26,4,0.2,Cash on Delivery,delivered
O00028,C0010,P0004,2024-01-30,1,0.1,UPI,delivered
O00029,C0016,P0009,2024-09-28,2,0.0,UPI,cancelled
O00030,C0003,P0002,2024-12-11,2,0.15,UPI,returned
O00031,C0019,P0004,2024-10-23,1,0.2,UPI,delivered
O00032,C0019,P0009,2024-06-10,3,0.05,Net Banking,delivered
O00033,C0013,P0003,2024-12-09,3,0.15,Net Banking,cancelled
O00034,C0030,P0002,2024-01-05,4,0.2,UPI,delivered
O00035,C0007,P0009,2024-05-15,2,0.1,UPI,cancelled
O00036,C0012,P0005,2024-03-21,4,0.2,Net Banking,delivered
O00037,C0026,P0009,2024-01-05,3,0.0,Card,delivered
O00038,C0029,P0002,2024-10-10,2,0.1,Net Banking,delivered
O00039,C0023,P0006,2024-04-14,3,0.2,Cash on Delivery,delivered
O00041,C0025,P0003,2024-11-22,3,0.05,Cash on Delivery,delivered
O00042,C0014,P0009,2024-01-05,1,0.0,Card,delivered
O00043,C0027,P0006,2024-10-25,2,0.15,Card,delivered
O00045,C0018,P0007,2024-11-13,2,0.05,Card,returned
O00046,C0026,P0003,2024-07-30,1,0.05,Net Banking,pending
O00047,C0014,P0004,2024-05-16,2,0.0,Cash on Delivery,cancelled
O00048,C0028,P0008,2024-04-23,2,0.15,Net Banking,delivered
O00049,C0026,P0004,2024-04-24,1,0.05,Cash on Delivery,delivered
O00050,C0028,P0002,2024-05-22,3,0.2,Cash on Delivery,delivered
O00051,C0027,P0009,2024-06-18,1,0.0,Net Banking,delivered
O00053,C0017,P0002,2024-07-16,2,0.1,UPI,delivered
O00055,C0022,P0006,2024-11-15,3,0.0,Net Banking,delivered
O00056,C0022,P0007,2024-06-16,4,0.1,Card,delivered
O00057,C0022,P0007,2024-12-12,2,0.2,Net Banking,delivered
O00059,C0020,P0006,2024-08-26,4,0.15,Card,delivered
O00060,C0026,P0003,2024-12-03,1,0.1,Net Banking,delivered
O00061,C0025,P0004,2024-12-10,3,0.05,Card,delivered
O00062,C0002,P0004,2024-08-31,1,0.15,Cash on Delivery,cancelled
O00063,C0019,P0004,2024-12-22,4,0.15,Cash on Delivery,delivered
O00065,C0023,P0009,2024-08-25,1,0.2,Card,cancelled
O00066,C0004,P0008,2024-03-09,4,0.2,Net Banking,returned
O00067,C0029,P0008,2024-11-09,4,0.2,Cash on Delivery,cancelled
O00068,C0024,P0008,2024-08-18,3,0.05,Net Banking,pending
O00069,C0017,P0008,2024-11-16,2,0.1,Cash on Delivery,delivered
O00070,C0010,P0004,2024-05-19,3,0.1,UPI,delivered
O00071,C0008,P0007,2024-12-21,2,0.05,UPI,delivered
O00072,C0011,P0009,2024-08-26,4,0.0,Card,pending
O00074,C0010,P0007,2024-08-02,2,0.15,Card,delivered
O00076,C0030,P0003,2024-11-14,1,0.15,UPI,delivered
O00077,C0014,P0003,2024-08-24,2,0.0,Net Banking,delivered
O00078,C0007,P0008,2024-06-16,3,0.15,Net Banking,pending
O00079,C0027,P0007,2024-05-09,1,0.15,UPI,delivered
